db,deg_wav,mos
TENCENT_WITH_TRAIN,withReverberationTrainDev/0000.wav,1.12
TENCENT_WITH_TRAIN,withReverberationTrainDev/0001.wav,1.14
TENCENT_WITH_TRAIN,withReverberationTrainDev/0002.wav,1.18
TENCENT_WITH_TRAIN,withReverberationTrainDev/0003.wav,1.18
TENCENT_WITH_TRAIN,withReverberationTrainDev/0004.wav,1.33
TENCENT_WITH_TRAIN,withReverberationTrainDev/0005.wav,1.27
TENCENT_WITH_TRAIN,withReverberationTrainDev/0006.wav,1.73
TENCENT_WITH_TRAIN,withReverberationTrainDev/0007.wav,1.89
TENCENT_WITH_TRAIN,withReverberationTrainDev/0008.wav,1.7
TENCENT_WITH_TRAIN,withReverberationTrainDev/0009.wav,1.81
TENCENT_WITH_TRAIN,withReverberationTrainDev/0010.wav,1.35
TENCENT_WITH_TRAIN,withReverberationTrainDev/0013.wav,1.27
TENCENT_WITH_TRAIN,withReverberationTrainDev/0014.wav,1.09
TENCENT_WITH_TRAIN,withReverberationTrainDev/0050.wav,1.24
TENCENT_WITH_TRAIN,withReverberationTrainDev/0051.wav,1.25
TENCENT_WITH_TRAIN,withReverberationTrainDev/0053.wav,1.72
TENCENT_WITH_TRAIN,withReverberationTrainDev/0054.wav,1.46
TENCENT_WITH_TRAIN,withReverberationTrainDev/0056.wav,1.21
TENCENT_WITH_TRAIN,withReverberationTrainDev/0057.wav,1.34
TENCENT_WITH_TRAIN,withReverberationTrainDev/0059.wav,1.4
TENCENT_WITH_TRAIN,withReverberationTrainDev/0060.wav,1.05
TENCENT_WITH_TRAIN,withReverberationTrainDev/0062.wav,1.05
TENCENT_WITH_TRAIN,withReverberationTrainDev/0063.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0064.wav,1.05
TENCENT_WITH_TRAIN,withReverberationTrainDev/0100.wav,1.14
TENCENT_WITH_TRAIN,withReverberationTrainDev/0101.wav,1.03
TENCENT_WITH_TRAIN,withReverberationTrainDev/0102.wav,1.14
TENCENT_WITH_TRAIN,withReverberationTrainDev/0103.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0104.wav,1.07
TENCENT_WITH_TRAIN,withReverberationTrainDev/0105.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0106.wav,1.02
TENCENT_WITH_TRAIN,withReverberationTrainDev/0107.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0108.wav,1.01
TENCENT_WITH_TRAIN,withReverberationTrainDev/0109.wav,1.25
TENCENT_WITH_TRAIN,withReverberationTrainDev/0111.wav,1.19
TENCENT_WITH_TRAIN,withReverberationTrainDev/0112.wav,1.1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0113.wav,1.31
TENCENT_WITH_TRAIN,withReverberationTrainDev/0114.wav,1.55
TENCENT_WITH_TRAIN,withReverberationTrainDev/0152.wav,1.28
TENCENT_WITH_TRAIN,withReverberationTrainDev/0153.wav,1.1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0154.wav,1.21
TENCENT_WITH_TRAIN,withReverberationTrainDev/0155.wav,1.38
TENCENT_WITH_TRAIN,withReverberationTrainDev/0156.wav,1.21
TENCENT_WITH_TRAIN,withReverberationTrainDev/0158.wav,1.65
TENCENT_WITH_TRAIN,withReverberationTrainDev/0159.wav,1.24
TENCENT_WITH_TRAIN,withReverberationTrainDev/0161.wav,1.53
TENCENT_WITH_TRAIN,withReverberationTrainDev/0162.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0163.wav,1.02
TENCENT_WITH_TRAIN,withReverberationTrainDev/0164.wav,1.01
TENCENT_WITH_TRAIN,withReverberationTrainDev/0200.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0202.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0203.wav,1.32
TENCENT_WITH_TRAIN,withReverberationTrainDev/0205.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0207.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0208.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0209.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0211.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0212.wav,1.08
TENCENT_WITH_TRAIN,withReverberationTrainDev/0213.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0214.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0250.wav,1.2
TENCENT_WITH_TRAIN,withReverberationTrainDev/0251.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0253.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0255.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0256.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0257.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0258.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0259.wav,1.08
TENCENT_WITH_TRAIN,withReverberationTrainDev/0260.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0261.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0263.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0275.wav,1.92
TENCENT_WITH_TRAIN,withReverberationTrainDev/0276.wav,1.68
TENCENT_WITH_TRAIN,withReverberationTrainDev/0300.wav,1.48
TENCENT_WITH_TRAIN,withReverberationTrainDev/0301.wav,1.24
TENCENT_WITH_TRAIN,withReverberationTrainDev/0304.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0305.wav,1.12
TENCENT_WITH_TRAIN,withReverberationTrainDev/0307.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0308.wav,1.2
TENCENT_WITH_TRAIN,withReverberationTrainDev/0309.wav,1.12
TENCENT_WITH_TRAIN,withReverberationTrainDev/0310.wav,1.2
TENCENT_WITH_TRAIN,withReverberationTrainDev/0312.wav,1.08
TENCENT_WITH_TRAIN,withReverberationTrainDev/0313.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0314.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0316.wav,1.88
TENCENT_WITH_TRAIN,withReverberationTrainDev/0328.wav,1.72
TENCENT_WITH_TRAIN,withReverberationTrainDev/0350.wav,1.44
TENCENT_WITH_TRAIN,withReverberationTrainDev/0353.wav,1.24
TENCENT_WITH_TRAIN,withReverberationTrainDev/0354.wav,1.32
TENCENT_WITH_TRAIN,withReverberationTrainDev/0355.wav,1.08
TENCENT_WITH_TRAIN,withReverberationTrainDev/0356.wav,1.08
TENCENT_WITH_TRAIN,withReverberationTrainDev/0357.wav,1.16
TENCENT_WITH_TRAIN,withReverberationTrainDev/0358.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0359.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0360.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0361.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0362.wav,1.08
TENCENT_WITH_TRAIN,withReverberationTrainDev/0363.wav,1.12
TENCENT_WITH_TRAIN,withReverberationTrainDev/0364.wav,1.04
TENCENT_WITH_TRAIN,withReverberationTrainDev/0371.wav,2
TENCENT_WITH_TRAIN,withReverberationTrainDev/0400.wav,1.15
TENCENT_WITH_TRAIN,withReverberationTrainDev/0401.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0402.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0403.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0405.wav,1.22
TENCENT_WITH_TRAIN,withReverberationTrainDev/0406.wav,1.11
TENCENT_WITH_TRAIN,withReverberationTrainDev/0407.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0409.wav,1.15
TENCENT_WITH_TRAIN,withReverberationTrainDev/0410.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0411.wav,1
TENCENT_WITH_TRAIN,withReverberationTrainDev/0412.wav,1.04
