db,deg_wav,mos
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00000.wav,2.6
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00001.wav,1.08
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00002.wav,1.12
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00003.wav,2.08
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00004.wav,2.84
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00005.wav,1.24
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00006.wav,1.12
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00007.wav,2.56
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00008.wav,1.96
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00009.wav,1.88
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00010.wav,2.8
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00011.wav,3.04
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00012.wav,3.52
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00015.wav,3.4
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00016.wav,3
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00017.wav,2.36
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00018.wav,2.52
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00019.wav,2.84
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00020.wav,3.36
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00021.wav,2.16
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00022.wav,3.04
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00024.wav,3.72
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00025.wav,3.88
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00026.wav,3.56
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00027.wav,2.88
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00028.wav,3.16
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00029.wav,2.52
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00030.wav,3.64
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00031.wav,3.48
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00032.wav,4.24
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00033.wav,3.4
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00034.wav,3.96
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00035.wav,4.32
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00036.wav,3.96
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00037.wav,3.2
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00039.wav,3.08
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00041.wav,3.52
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00042.wav,4.48
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00044.wav,4.2
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00046.wav,4.4
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00047.wav,4.8
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00048.wav,4.88
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00052.wav,1.208333333
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00053.wav,1
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00054.wav,3.125
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00055.wav,1.333333333
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00056.wav,3.041666667
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00057.wav,3
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00058.wav,2.125
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00060.wav,2.666666667
TENCENT_WITHOUT_TRAIN,./withoutReverberationTrainDev/00061.wav,3.333333333
