runname,epoch,filename,loss,ep_runtime,ds_train_len,ds_val_len,train_r_p_mean_file,train_rmse_map_mean_file,r_p_all,rmse_all,r_p_mean_file,rmse_mean_file,rmse_map_mean_file,r_p_mean_con,rmse_mean_con,rmse_map_mean_con,rmse_star_map_mean_con,name,data_dir,output_dir,pretrained_model,csv_file,csv_con,csv_deg,csv_mos_train,csv_mos_val,csv_db_train,csv_db_val,tr_epochs,tr_early_stop,tr_bs,tr_bs_val,tr_lr,tr_lr_patience,tr_num_workers,tr_parallel,tr_ds_to_memory,tr_ds_to_memory_workers,tr_device,tr_checkpoint,tr_verbose,tr_bias_mapping,tr_bias_min_r,tr_bias_anchor_db,ms_sr,ms_fmax,ms_n_fft,ms_hop_length,ms_win_length,ms_n_mels,ms_seg_length,ms_seg_hop_length,ms_max_segments,ms_channel,model,cnn_model,cnn_c_out_1,cnn_c_out_2,cnn_c_out_3,cnn_kernel_size,cnn_dropout,cnn_fc_out_h,cnn_pool_1,cnn_pool_2,cnn_pool_3,td,td_sa_d_model,td_sa_nhead,td_sa_pos_enc,td_sa_num_layers,td_sa_h,td_sa_dropout,td_lstm_h,td_lstm_num_layers,td_lstm_dropout,td_lstm_bidirectional,td_2,td_2_sa_d_model,td_2_sa_nhead,td_2_sa_pos_enc,td_2_sa_num_layers,td_2_sa_h,td_2_sa_dropout,td_2_lstm_h,td_2_lstm_num_layers,td_2_lstm_dropout,td_2_lstm_bidirectional,pool,pool_att_h,pool_att_dropout,yaml,mode,dim,double_ended,csv_ref,now
tencent_with_220317_201656046758,00001,tencent_with_220317_201656046758__ep_001.tar,0.06510936641799552,103.04,2220,977,0.9619046128564439,0.25544930374812397,0.9491893049631974,0.25684258000020066,0.9491893049631974,0.25684258000020066,0.2434774807258689,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00002,tencent_with_220317_201656046758__ep_002.tar,0.05662990783873413,67.47,2220,977,0.9669306169453151,0.23830719240352569,0.9498363695870723,0.2427755371355543,0.9498363695870723,0.2427755371355543,0.241962345018191,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00003,tencent_with_220317_201656046758__ep_003.tar,0.050788516112204106,67.27,2220,977,0.9705402073945464,0.2251319206188391,0.9468481748855867,0.2809819486636972,0.9468481748855867,0.2809819486636972,0.2488739007508559,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00004,tencent_with_220317_201656046758__ep_004.tar,0.04814122204801866,67.78,2220,977,0.9721693549229851,0.21890885172108915,0.9478693728195181,0.2670842361135079,0.9478693728195181,0.2670842361135079,0.24653615092006934,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00005,tencent_with_220317_201656046758__ep_005.tar,0.04456678957545331,67.17,2220,977,0.9740919575965897,0.21131511993702318,0.9488126501820537,0.28090422396621995,0.9488126501820537,0.28090422396621995,0.24435463945868263,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00006,tencent_with_220317_201656046758__ep_006.tar,0.04506762847969575,67.73,2220,977,0.9740187847248494,0.2116093994599036,0.946297856392279,0.2934132444060392,0.946297856392279,0.2934132444060392,0.2501236079993507,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00007,tencent_with_220317_201656046758__ep_007.tar,0.04063850644576762,67.49,2220,977,0.9764872939106957,0.20143174007142173,0.9475231616311693,0.29727651814399136,0.9475231616311693,0.29727651814399136,0.2473314640626939,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00008,tencent_with_220317_201656046758__ep_008.tar,0.03906260517292789,67.41,2220,977,0.9773667082185348,0.19767286349678895,0.9467649573646831,0.2786812484145012,0.9467649573646831,0.2786812484145012,0.2490633268766629,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00009,tencent_with_220317_201656046758__ep_009.tar,0.03976033288719399,67.51,2220,977,0.9769837066788484,0.19931905537870442,0.9459605687589656,0.29563053016301205,0.9459605687589656,0.29563053016301205,0.25088611380704784,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
tencent_with_220317_201656046758,00010,tencent_with_220317_201656046758__ep_010.tar,0.036967079321454675,67.86,2220,977,0.9785156737031228,0.19264609085917633,0.9453053784348533,0.30341335076531295,0.9453053784348533,0.30341335076531295,0.2523599463375506,nan,nan,nan,nan,tencent_with,K:\TencentCorups,D:\cjh\NISQA-master\output\with,L:\cjh\NISQA-master\weights\baseline2_retraining_NISQA_full_ep_080.tar,withReverberationTrainDevMOS.csv,None,deg_wav,mos,mos,['TENCENT_WITH_TRAIN'],['TENCENT_WITH_VAL'],100,20,40,40,0.001,15,4,True,False,0,None,every_epoch,2,None,None,None,None,20000,4096,0.01,0.02,48,15,4,2000,None,NISQA,adapt,16,32,64,"(3, 3)",0.2,None,"[24, 7]","[12, 5]","[6, 3]",self_att,64,1,False,2,64,0.1,None,None,None,None,skip,None,None,None,None,None,None,None,None,None,None,att,128,0,config/train_nisqa_cnn_sa_ap_with.yaml,main,False,False,None,2022-03-17 20:16:56.046758
